State,Month,Year,Population,PopUI,everRCL,RCL,RCL_l1,date,time_to_treat_m,time,treat,MCL,Decriminalization,hhi,popBIPOC,popNotProfE,popPolice,party,season,ICE_SC
Alabama,1,2009,4757938,80000,0,0,0,1/1/09,0,1,1,0,0,46905,0.3169,0.02,9.352791062,Republican,q1,1
Alaska,1,2009,698895,10000,1,0,0,1/1/09,75,1,1,1,1,72275,0.3512,0.06,6.724901452,Republican,q1,1
Arizona,1,2009,6343154,350000,0,0,0,1/1/09,0,1,1,0,1,53662,0.4267,0.12,2.128278771,Democrat,q1,1
Arkansas,1,2009,2896843,65000,0,0,0,1/1/09,0,1,1,0,0,42867,0.2486,0.03,10.39062179,Democrat,q1,1
California,1,2009,36961229,2500000,1,0,0,1/1/09,96,1,1,1,1,65858,0.5856,0.2,2.380873212,Republican,q1,1
Colorado,1,2009,4972195,210000,1,0,0,1/1/09,48,1,1,1,1,65618,0.2933,0.07,5.892769692,Democrat,q1,1
Connecticut,1,2009,3561807,130000,0,0,0,1/1/09,0,1,1,0,0,76085,0.2697,0.08,3.4252277,Republican,q1,1
District of Columbia,1,2009,592228,20000,1,0,0,1/1/09,75,1,1,0,0,62346,0.6825,0.05,0.675415549,Democrat,q1,1
Delaware,1,2009,891730,20000,0,0,0,1/1/09,0,1,1,0,0,61141,0.3236,0.04,7.962051294,Democrat,q1,1
Florida,1,2009,18652644,875000,0,0,0,1/1/09,0,1,1,0,0,53535,0.406,0.12,5.822230886,Republican,q1,1
Georgia,1,2009,9620846,425000,0,0,0,1/1/09,0,1,1,0,0,50848,0.4238,0.06,8.138577418,Republican,q1,1
Hawaii,1,2009,1346717,40000,0,0,0,1/1/09,0,1,1,1,0,65289,0.7622,0.11,1.039565105,Republican,q1,1
Idaho,1,2009,1554439,35000,0,0,0,1/1/09,0,1,1,0,0,54881,0.1546,0.04,9.328124166,Republican,q1,1
Illinois,1,2009,12796778,500000,1,0,0,1/1/09,134,1,1,0,0,62028,0.3556,0.1,7.486259432,Democrat,q1,1
Indiana,1,2009,6459325,100000,0,0,0,1/1/09,0,1,1,0,0,51980,0.1723,0.03,5.743634203,Republican,q1,1
Iowa,1,2009,3032870,45000,0,0,0,1/1/09,0,1,1,0,0,59507,0.0994,0.03,8.374905617,Democrat,q1,1
Kansas,1,2009,2832704,95000,0,0,0,1/1/09,0,1,1,0,0,52463,0.1985,0.04,15.49755993,Democrat,q1,1
Kentucky,1,2009,4317074,50000,0,0,0,1/1/09,0,1,1,0,0,50054,0.1246,0.02,14.61638137,Democrat,q1,1
Louisiana,1,2009,4491648,55000,0,0,0,1/1/09,0,1,1,0,0,53303,0.3837,0.03,6.03342025,Republican,q1,1
Maine,1,2009,1329590,5000,1,0,0,1/1/09,98,1,1,1,1,55730,0.0559,0.02,15.26786453,Democrat,q1,1
Maryland,1,2009,5730388,230000,0,0,0,1/1/09,0,1,1,0,0,75305,0.4318,0.06,3.315656811,Democrat,q1,1
Massachusetts,1,2009,6517613,180000,1,0,0,1/1/09,97,1,1,0,1,69658,0.2168,0.09,7.226572059,Democrat,q1,1
Michigan,1,2009,9901591,110000,1,0,0,1/1/09,134,1,1,1,0,53961,0.2246,0.03,8.231000452,Democrat,q1,1
Minnesota,1,2009,5281203,90000,0,0,0,1/1/09,0,1,1,0,1,65806,0.151,0.04,7.043849668,Republican,q1,1
Mississippi,1,2009,2958774,30000,0,0,0,1/1/09,0,1,1,0,1,41154,0.4134,0.02,7.739692183,Republican,q1,1
Missouri,1,2009,5961088,65000,0,0,0,1/1/09,0,1,1,0,0,57217,0.1799,0.02,11.44086449,Republican,q1,1
Montana,1,2009,983982,5000,0,0,0,1/1/09,0,1,1,1,0,47442,0.1233,0.01,13.61813529,Democrat,q1,1
Nebraska,1,2009,1812683,45000,0,0,0,1/1/09,0,1,1,0,1,58186,0.1664,0.04,18.09472478,Republican,q1,1
Nevada,1,2009,2684665,230000,1,0,0,1/1/09,97,1,1,1,0,60344,0.4431,0.13,2.160418525,Republican,q1,1
New Hampshire,1,2009,1316102,10000,0,0,0,1/1/09,0,1,1,0,0,75240,0.0717,0.02,19.299416,Democrat,q1,1
New Jersey,1,2009,8755602,450000,0,0,0,1/1/09,0,1,1,0,0,75998,0.3896,0.12,7.298184637,Democrat,q1,1
New Mexico,1,2009,2036802,90000,0,0,0,1/1/09,0,1,1,1,0,51084,0.5893,0.1,6.578940908,Democrat,q1,1
New York,1,2009,19307066,800000,0,0,0,1/1/09,0,1,1,0,1,58915,0.4028,0.13,5.795805536,Democrat,q1,1
North Carolina,1,2009,9449566,350000,0,0,0,1/1/09,0,1,1,0,1,49165,0.3307,0.05,8.476579771,Democrat,q1,1
North Dakota,1,2009,664968,5000,0,0,0,1/1/09,0,1,1,0,0,58749,0.1087,0.02,19.09866339,Republican,q1,1
Ohio,1,2009,11528896,100000,0,0,0,1/1/09,0,1,1,0,1,53826,0.1768,0.02,7.398800371,Democrat,q1,1
Oklahoma,1,2009,3717572,100000,0,0,0,1/1/09,0,1,1,0,0,53825,0.2896,0.04,11.19009934,Democrat,q1,1
Oregon,1,2009,3808600,140000,1,0,0,1/1/09,88,1,1,1,1,57603,0.2041,0.06,7.535577378,Democrat,q1,1
Pennsylvania,1,2009,12666858,140000,0,0,0,1/1/09,0,1,1,0,0,56517,0.189,0.04,13.43663914,Democrat,q1,1
Rhode Island,1,2009,1053646,35000,0,0,0,1/1/09,0,1,1,1,0,60578,0.2212,0.09,5.884329272,Republican,q1,1
South Carolina,1,2009,4589872,100000,0,0,0,1/1/09,0,1,1,0,0,48221,0.349,0.03,11.83039527,Republican,q1,1
Tennessee,1,2009,6306019,120000,0,0,0,1/1/09,0,1,1,0,0,47535,0.2329,0.03,9.165846154,Democrat,q1,1
Texas,1,2009,24801761,1600000,0,0,0,1/1/09,0,1,1,0,0,55699,0.5337,0.15,4.431136966,Republican,q1,1
South Dakota,1,2009,807067,5000,0,0,0,1/1/09,0,1,1,0,0,53764,0.1467,0.02,22.79860284,Republican,q1,1
Utah,1,2009,2723421,95000,0,0,0,1/1/09,0,1,1,0,0,68623,0.1886,0.06,6.131993548,Republican,q1,1
Vermont,1,2009,624817,5000,1,0,0,1/1/09,116,1,1,1,0,61381,0.052,0.01,15.20445186,Republican,q1,1
Virginia,1,2009,7925937,250000,0,0,0,1/1/09,0,1,1,0,0,70981,0.3365,0.05,5.677562161,Democrat,q1,1
Washington,1,2009,6667426,220000,1,0,0,1/1/09,48,1,1,1,0,70853,0.2545,0.08,4.619473842,Democrat,q1,1
Wisconsin,1,2009,5669264,75000,0,0,0,1/1/09,0,1,1,0,0,60112,0.1525,0.03,7.478924954,Democrat,q1,1
West Virginia,1,2009,1847775,5000,0,0,0,1/1/09,0,1,1,0,0,47504,0.0632,0.01,28.30431194,Democrat,q1,1
Wyoming,1,2009,559851,5000,0,0,0,1/1/09,0,1,1,0,0,61559,0.1374,0.02,14.46813527,Democrat,q1,1
Alabama,2,2009,4757938,80000,0,0,0,2/1/09,0,2,1,0,0,46905,0.3169,0.02,9.352791062,Republican,q1,1
Alaska,2,2009,698895,10000,1,0,0,2/1/09,74,2,1,1,1,72275,0.3512,0.06,6.724901452,Republican,q1,1
Arizona,2,2009,6343154,350000,0,0,0,2/1/09,0,2,1,0,1,53662,0.4267,0.12,2.128278771,Democrat,q1,1
Arkansas,2,2009,2896843,65000,0,0,0,2/1/09,0,2,1,0,0,42867,0.2486,0.03,10.39062179,Democrat,q1,1
